location,movie,rank,account,ipv4,cdn_name,cdn_id
princeton,80186608,1,1,23.246.31.164,c075.ewr002.ix.nflxvideo.net,37327
princeton,80186608,1,2,198.38.111.165,c055.phl001.ix.nflxvideo.net,17492
princeton,80186608,1,3,23.246.31.155,c066.ewr002.ix.nflxvideo.net,37318
princeton,80186608,3,1,23.246.31.160,c071.ewr002.ix.nflxvideo.net,37323
princeton,80186608,3,3,198.38.111.132,c008.phl001.ix.nflxvideo.net,17335
princeton,80186608,4,1,198.38.110.164,c036.phl001.ix.nflxvideo.net,17473
princeton,80186608,4,2,23.246.30.178,c092.ewr002.ix.nflxvideo.net,50913
princeton,80186608,4,3,23.246.30.178,c092.ewr002.ix.nflxvideo.net,50913
princeton,80186608,6,1,23.246.30.163,c034.ewr002.ix.nflxvideo.net,37296
princeton,80186608,6,2,23.246.30.166,c037.ewr002.ix.nflxvideo.net,37299
princeton,80186608,7,1,23.246.30.173,c087.ewr002.ix.nflxvideo.net,50908
princeton,80186608,8,1,23.246.30.136,c007.ewr002.ix.nflxvideo.net,37113
princeton,80186608,8,2,23.246.31.155,c066.ewr002.ix.nflxvideo.net,37318
princeton,80186608,2,2,198.38.111.156,c046.phl001.ix.nflxvideo.net,17483
princeton,80186608,2,3,23.246.31.170,c084.ewr002.ix.nflxvideo.net,50893
princeton,80186608,2,1,23.246.31.160,c071.ewr002.ix.nflxvideo.net,37323
princeton,80186608,5,2,23.246.30.173,c087.ewr002.ix.nflxvideo.net,50908
princeton,80186608,5,3,23.246.30.166,c037.ewr002.ix.nflxvideo.net,37299
princeton,80186608,5,1,198.38.110.149,c021.phl001.ix.nflxvideo.net,17458
princeton,80186608,9,2,23.246.31.160,c071.ewr002.ix.nflxvideo.net,37323
princeton,80115431,1,1,23.246.30.141,c012.ewr002.ix.nflxvideo.net,37274
princeton,80115431,1,2,198.38.110.156,c028.phl001.ix.nflxvideo.net,17465
princeton,80115431,1,3,23.246.31.142,c053.ewr002.ix.nflxvideo.net,37305
princeton,80115431,2,1,23.246.30.171,c082.ewr002.ix.nflxvideo.net,50891
princeton,80115431,2,2,198.38.110.130,c001.phl001.ix.nflxvideo.net,17328
princeton,80115431,2,3,23.246.31.132,c043.ewr002.ix.nflxvideo.net,37119
princeton,80115431,3,1,23.246.31.177,c097.ewr002.ix.nflxvideo.net,50918
princeton,80115431,3,2,198.38.111.149,c039.phl001.ix.nflxvideo.net,17476
princeton,80115431,3,3,198.38.111.149,c039.phl001.ix.nflxvideo.net,17476
princeton,80115431,4,1,23.246.31.142,c053.ewr002.ix.nflxvideo.net,37305
princeton,80115431,4,2,198.38.111.139,c061.phl001.ix.nflxvideo.net,51574
princeton,80115431,4,3,198.38.111.139,c061.phl001.ix.nflxvideo.net,51574
princeton,80115431,5,1,23.246.31.132,c043.ewr002.ix.nflxvideo.net,37119
princeton,80115431,5,2,23.246.31.177,c097.ewr002.ix.nflxvideo.net,50918
princeton,80115431,5,3,23.246.30.173,c087.ewr002.ix.nflxvideo.net,50908
princeton,80115431,6,1,198.38.110.156,c028.phl001.ix.nflxvideo.net,17465
princeton,80115431,6,2,23.246.31.142,c053.ewr002.ix.nflxvideo.net,37305
princeton,80115431,6,3,23.246.30.141,c012.ewr002.ix.nflxvideo.net,37274
princeton,80115431,7,1,198.38.110.130,c001.phl001.ix.nflxvideo.net,17328
princeton,80115431,7,2,23.246.31.130,c041.ewr002.ix.nflxvideo.net,37117
princeton,80115431,7,3,23.246.30.171,c082.ewr002.ix.nflxvideo.net,50891
princeton,80115431,8,1,23.246.30.171,c082.ewr002.ix.nflxvideo.net,50891
princeton,70116817,1,1,23.246.31.178,c098.ewr002.ix.nflxvideo.net,50919
princeton,70116817,1,2,23.246.31.170,c084.ewr002.ix.nflxvideo.net,50893
princeton,70116817,1,3,198.38.110.159,c031.phl001.ix.nflxvideo.net,17468
princeton,70116817,2,1,23.246.31.163,c074.ewr002.ix.nflxvideo.net,37326
